family,task,axis,budget,baseline_config,diversity_config,gain_success_rate_at_1cm,gain_success_rate_at_2cm,gain_success_rate_at_5cm
Scratch CNN,reach,color,50,color_red_only,color_multi,0.3555555555555555,0.0,0.0
Scratch CNN,avoid_reach,color,50,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0
Scratch CNN,reach,spatial_distribution,50,spatial_narrow,spatial_wide,0.004444444444444445,0.14222222222222225,0.3355555555555556
Scratch CNN,avoid_reach,spatial_distribution,50,avoid_spatial_narrow,avoid_spatial_wide,0.00888888888888889,0.07555555555555554,0.1377777777777778
Scratch CNN,reach,camera_location_viewpoint,50,camera_fixed,camera_multi_pose,0.0,0.0,0.0
Scratch CNN,avoid_reach,camera_location_viewpoint,50,avoid_camera_fixed,avoid_camera_multi_pose,-0.31777777777777777,-0.268888888888889,-0.32666666666666666
Scratch CNN,reach,lighting_direction_intensity,50,lighting_fixed,lighting_diverse,-0.12,0.0,-0.10666666666666669
Scratch CNN,avoid_reach,lighting_direction_intensity,50,avoid_lighting_fixed,avoid_lighting_diverse,0.0,-0.11777777777777776,0.06888888888888889
Frozen ResNet,reach,color,50,color_red_only,color_multi,-0.33111111111111113,0.16222222222222216,0.0
Frozen ResNet,avoid_reach,color,50,avoid_color_red_only,avoid_color_multi,0.0,0.0,-0.09333333333333338
Frozen ResNet,reach,spatial_distribution,50,spatial_narrow,spatial_wide,0.12444444444444444,0.3088888888888889,0.38222222222222235
Frozen ResNet,avoid_reach,spatial_distribution,50,avoid_spatial_narrow,avoid_spatial_wide,0.04888888888888889,0.14666666666666667,0.2533333333333333
Frozen ResNet,reach,camera_location_viewpoint,50,camera_fixed,camera_multi_pose,0.22888888888888886,0.5888888888888889,0.08666666666666656
Frozen ResNet,avoid_reach,camera_location_viewpoint,50,avoid_camera_fixed,avoid_camera_multi_pose,-0.0022222222222222222,-0.008888888888888889,0.4222222222222223
Frozen ResNet,reach,lighting_direction_intensity,50,lighting_fixed,lighting_diverse,-0.08888888888888889,-0.2088888888888889,0.5466666666666666
Frozen ResNet,avoid_reach,lighting_direction_intensity,50,avoid_lighting_fixed,avoid_lighting_diverse,0.28,0.37333333333333335,0.6666666666666667
Partial ResNet,reach,color,50,color_red_only,color_multi,0.08666666666666667,0.17777777777777776,0.006666666666666654
Partial ResNet,avoid_reach,color,50,avoid_color_red_only,avoid_color_multi,0.2555555555555556,0.2577777777777778,0.006666666666666821
Partial ResNet,reach,spatial_distribution,50,spatial_narrow,spatial_wide,0.01111111111111111,0.11777777777777779,0.2911111111111111
Partial ResNet,avoid_reach,spatial_distribution,50,avoid_spatial_narrow,avoid_spatial_wide,0.05333333333333333,0.10444444444444442,0.24
Partial ResNet,reach,camera_location_viewpoint,50,camera_fixed,camera_multi_pose,0.1088888888888889,0.3066666666666667,0.6333333333333333
Partial ResNet,avoid_reach,camera_location_viewpoint,50,avoid_camera_fixed,avoid_camera_multi_pose,0.01777777777777778,0.05555555555555554,0.5755555555555556
Partial ResNet,reach,lighting_direction_intensity,50,lighting_fixed,lighting_diverse,-0.07555555555555556,0.031111111111111117,0.16444444444444445
Partial ResNet,avoid_reach,lighting_direction_intensity,50,avoid_lighting_fixed,avoid_lighting_diverse,0.0,-0.08444444444444446,0.18666666666666676
