family,axis,budget,n_models,success_rate_at_0p5cm_mean,success_rate_at_1cm_mean,success_rate_at_2cm_mean,success_rate_at_5cm_mean,mean_best_distance_mean,mean_final_distance_mean
Frozen ResNet,camera_location_viewpoint,50,12,0.01,0.09000000000000001,0.2972222222222222,0.8561111111111112,0.03968218173175248,0.25022600138285067
Frozen ResNet,color,50,12,0.04388888888888889,0.08277777777777778,0.3727777777777778,0.9766666666666667,0.03178496412790587,0.22637390336435703
Frozen ResNet,lighting_direction_intensity,50,12,0.023333333333333334,0.09222222222222222,0.18333333333333335,0.6622222222222222,0.03998435370210144,0.26146653345268633
Frozen ResNet,spatial_distribution,50,12,0.022222222222222223,0.07444444444444444,0.2138888888888889,0.4477777777777778,0.08047215436688727,0.2136125183286559
Partial ResNet,camera_location_viewpoint,50,12,0.013333333333333334,0.04722222222222222,0.1438888888888889,0.5599999999999999,0.055177477967808954,0.23575744656276787
Partial ResNet,color,50,12,0.042222222222222223,0.08555555555555557,0.22444444444444445,0.5888888888888889,0.043564956742597534,0.27760922878152794
Partial ResNet,lighting_direction_intensity,50,12,0.0,0.01888888888888889,0.10555555555555556,0.61,0.06149004376803835,0.28013614375972085
Partial ResNet,spatial_distribution,50,12,0.007777777777777778,0.03388888888888889,0.11666666666666665,0.3183333333333333,0.08865630445908108,0.26629972260390383
Scratch CNN,camera_location_viewpoint,50,12,0.29777777777777775,0.5794444444444444,0.7338888888888889,0.915,0.02860093585744228,0.44329117486536335
Scratch CNN,color,50,12,0.27111111111111114,0.41111111111111115,0.8333333333333334,1.0,0.012060135405821105,0.4802521412350082
Scratch CNN,lighting_direction_intensity,50,12,0.06888888888888889,0.20555555555555557,0.49277777777777776,0.9116666666666666,0.028920715724945895,0.4177442450366086
Scratch CNN,spatial_distribution,50,12,0.007222222222222223,0.02888888888888889,0.12666666666666668,0.3138888888888889,0.10783048354367364,0.27545358245726675
