family,budget,task,n_models,success_rate_at_0p5cm_mean,success_rate_at_1cm_mean,success_rate_at_2cm_mean,success_rate_at_5cm_mean,mean_best_distance_mean,mean_final_distance_mean
Frozen ResNet,5,avoid_reach,24,0.0002777777777777778,0.013055555555555556,0.050555555555555555,0.44222222222222224,0.08093777201060827,0.20682448408928597
Frozen ResNet,5,reach,24,0.035833333333333335,0.14027777777777778,0.40111111111111114,0.7280555555555556,0.049733262735567725,0.30656741809643184
Frozen ResNet,20,avoid_reach,24,0.0016666666666666668,0.002777777777777778,0.05666666666666667,0.5552777777777778,0.08358217496919679,0.2267611956047929
Frozen ResNet,20,reach,24,0.005833333333333334,0.0936111111111111,0.4172222222222222,0.7397222222222223,0.04157428798726566,0.3009160871605693
Frozen ResNet,50,avoid_reach,24,0.013055555555555556,0.04361111111111112,0.07777777777777778,0.6633333333333333,0.061807355527934205,0.18839917748649085
Frozen ResNet,50,reach,24,0.03666666666666667,0.12611111111111112,0.4558333333333333,0.8080555555555556,0.03415447143638933,0.2874403007777841
Partial ResNet,5,avoid_reach,24,0.0,0.0005555555555555556,0.014444444444444446,0.14944444444444446,0.12575057993979297,0.3406115067822652
Partial ResNet,5,reach,24,0.0016666666666666668,0.006944444444444445,0.05361111111111111,0.3,0.09057280477711982,0.26874037364808223
Partial ResNet,20,avoid_reach,24,0.0019444444444444446,0.005833333333333333,0.0375,0.3013888888888889,0.10796924645055293,0.2873969591305488
Partial ResNet,20,reach,24,0.0036111111111111114,0.021111111111111112,0.06555555555555555,0.3591666666666667,0.07726173363082732,0.27113042609746724
Partial ResNet,50,avoid_reach,24,0.02388888888888889,0.04638888888888889,0.11888888888888889,0.5366666666666667,0.06540777426588142,0.306408901356885
Partial ResNet,50,reach,24,0.007777777777777778,0.04638888888888889,0.1763888888888889,0.5019444444444444,0.05903661720288154,0.22349236949707527
Scratch CNN,5,avoid_reach,24,0.0008333333333333334,0.13194444444444445,0.43472222222222223,0.8052777777777779,0.04569893407855286,0.5161302994574524
Scratch CNN,5,reach,24,0.09527777777777778,0.3002777777777778,0.5908333333333333,0.7822222222222223,0.045188743301550864,0.27359406407353365
Scratch CNN,20,avoid_reach,24,0.0008333333333333334,0.08833333333333333,0.46,0.8016666666666666,0.044163144300756456,0.7610531084477489
Scratch CNN,20,reach,24,0.09527777777777778,0.43416666666666665,0.6994444444444444,0.7977777777777778,0.039585071828009355,0.16612205126571805
Scratch CNN,50,avoid_reach,24,0.006666666666666667,0.0425,0.3938888888888889,0.7627777777777779,0.052496682084488884,0.7107234229920949
Scratch CNN,50,reach,24,0.31583333333333335,0.57,0.6994444444444444,0.8075,0.03620945318145257,0.09764714880502855
