family,split,budget,n_models,success_rate_at_0p5cm_mean,success_rate_at_1cm_mean,success_rate_at_2cm_mean,success_rate_at_5cm_mean,mean_best_distance_mean,mean_final_distance_mean
Frozen ResNet,id,5,48,0.06527777777777778,0.1723611111111111,0.3275,0.6766666666666666,0.0466525450744747,0.23238283511960212
Frozen ResNet,id,20,48,0.017777777777777778,0.21486111111111109,0.44416666666666665,0.8525,0.040746179639649605,0.24345186706275046
Frozen ResNet,id,50,48,0.035416666666666666,0.1938888888888889,0.5016666666666666,0.9509722222222222,0.026632540521265277,0.2208919788449081
Frozen ResNet,ood,5,48,0.018055555555555557,0.07666666666666667,0.22583333333333333,0.5851388888888889,0.065335517373088,0.2566959510928589
Frozen ResNet,ood,20,48,0.0037500000000000003,0.04819444444444445,0.23694444444444443,0.6475000000000001,0.06257823147823123,0.2638386413826811
Frozen ResNet,ood,50,48,0.02486111111111111,0.08486111111111111,0.2668055555555556,0.7356944444444444,0.04798091348216177,0.2379197391321375
Partial ResNet,id,5,48,0.0062499999999999995,0.015416666666666667,0.06569444444444444,0.26805555555555555,0.08291810528499709,0.29547715971530936
Partial ResNet,id,20,48,0.004166666666666667,0.01638888888888889,0.06763888888888889,0.42194444444444446,0.07089352359273308,0.25971393892765465
Partial ResNet,id,50,48,0.009166666666666667,0.05402777777777778,0.17888888888888888,0.6097222222222222,0.04571133492837867,0.2603762807680889
Partial ResNet,ood,5,48,0.0008333333333333334,0.00375,0.034027777777777775,0.22472222222222224,0.1081616923584564,0.3046759402151737
Partial ResNet,ood,20,48,0.002777777777777778,0.01347222222222222,0.05152777777777778,0.3302777777777778,0.09261549004069013,0.279263692614008
Partial ResNet,ood,50,48,0.015833333333333335,0.04638888888888889,0.1476388888888889,0.5193055555555556,0.06222219573438148,0.2649506354269801
Scratch CNN,id,5,48,0.043194444444444445,0.1938888888888889,0.5480555555555556,0.8443055555555555,0.03183325540292976,0.38701475763359566
Scratch CNN,id,20,48,0.04402777777777778,0.2723611111111111,0.6665277777777777,0.8773611111111111,0.026052630880739242,0.47018588292608915
Scratch CNN,id,50,48,0.2584722222222222,0.3938888888888889,0.6429166666666667,0.8706944444444445,0.02681014140443747,0.3951757830577359
Scratch CNN,ood,5,48,0.04805555555555555,0.21611111111111111,0.5127777777777778,0.7937500000000001,0.04544383869005186,0.394862181765493
Scratch CNN,ood,20,48,0.04805555555555555,0.26125000000000004,0.5797222222222222,0.7997222222222221,0.04187410806438291,0.46358757985673343
Scratch CNN,ood,50,48,0.16125,0.30624999999999997,0.5466666666666666,0.7851388888888889,0.04435306763297073,0.40418528589856173
