family,family_dir,split,train_config,task,axis,variant,budget,seed,eval_config,rollout_count,success_rate_at_0p5cm,success_rate_at_1cm,success_rate_at_2cm,success_rate_at_5cm,mean_best_distance,mean_final_distance
Scratch CNN,bc_128px_v1,id,avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,50,2,avoid_spatial_wide,150,0.0,0.006666666666666667,0.23333333333333334,0.54,0.06557761748010914,0.3537874876956145
Scratch CNN,bc_128px_v1,id,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,5,0,camera_multi_pose,150,0.0,1.0,1.0,1.0,0.008983899814387162,0.27034037093321484
Scratch CNN,bc_128px_v1,id,camera_fixed,reach,camera_location_viewpoint,fixed_train,20,1,camera_fixed,150,0.0,1.0,1.0,1.0,0.006896995473653078,0.02169713005423546
Scratch CNN,bc_128px_v1,id,avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,50,2,avoid_camera_multi_pose,150,0.0,0.0,0.0,1.0,0.025246837412317594,1.1973647753397623
Scratch CNN,bc_128px_v1,id,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,5,0,avoid_lighting_fixed,150,0.0,1.0,1.0,1.0,0.008788717910647392,0.6014371514320374
Scratch CNN,bc_128px_v1,id,lighting_fixed,reach,lighting_direction_intensity,fixed_train,50,0,lighting_fixed,150,1.0,1.0,1.0,1.0,0.0012199819320812821,0.03676559403538704
Scratch CNN,bc_128px_v1,id,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,50,0,avoid_lighting_fixed,150,0.0,0.0,0.0,1.0,0.02050137333571911,1.019129991531372
Scratch CNN,bc_128px_v1,id,spatial_wide,reach,spatial_distribution,wide_train,5,0,spatial_wide,150,0.006666666666666667,0.013333333333333334,0.06,0.16,0.10772376214154064,0.17353718808541696
Scratch CNN,bc_128px_v1,id,spatial_narrow,reach,spatial_distribution,narrow_train,50,1,spatial_narrow,150,0.006666666666666667,0.09333333333333334,0.5333333333333333,0.7533333333333333,0.03249832324140395,0.07851348917388047
Scratch CNN,bc_128px_v1,id,avoid_color_red_only,avoid_reach,color,fixed_train,50,1,avoid_color_red_only,150,0.0,0.0,1.0,1.0,0.0156676284968853,0.6562272310256958
Scratch CNN,bc_128px_v1,id,color_red_only,reach,color,fixed_train,50,0,color_red_only,150,1.0,1.0,1.0,1.0,0.0009739762754179537,0.0009739762754179537
Scratch CNN,bc_128px_v1,id,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,20,2,avoid_lighting_diverse,150,0.0,0.0,1.0,1.0,0.014743647066255411,0.5616913906733195
Scratch CNN,bc_128px_v1,id,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,20,1,camera_multi_pose,150,0.0,1.0,1.0,1.0,0.009698718897998332,0.21648160606622696
Scratch CNN,bc_128px_v1,id,avoid_color_red_only,avoid_reach,color,fixed_train,5,1,avoid_color_red_only,150,0.0,0.0,1.0,1.0,0.019668705761432648,0.5130672454833984
Scratch CNN,bc_128px_v1,id,camera_fixed,reach,camera_location_viewpoint,fixed_train,50,0,camera_fixed,150,1.0,1.0,1.0,1.0,0.0012446660548448563,0.02286805957555771
Scratch CNN,bc_128px_v1,id,lighting_diverse,reach,lighting_direction_intensity,diverse_train,20,2,lighting_diverse,150,0.0,0.0,1.0,1.0,0.012311485192428032,0.07244539498041073
Scratch CNN,bc_128px_v1,id,avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,5,1,avoid_camera_fixed,150,0.0,0.0,1.0,1.0,0.018956279382109642,0.5464298725128174
Scratch CNN,bc_128px_v1,id,color_multi,reach,color,diverse_train,5,0,color_multi,150,1.0,1.0,1.0,1.0,0.004229994670798381,0.2366793026526769
Scratch CNN,bc_128px_v1,id,lighting_fixed,reach,lighting_direction_intensity,fixed_train,20,1,lighting_fixed,150,0.0,0.0,1.0,1.0,0.011165112257003784,0.20498676598072052
Scratch CNN,bc_128px_v1,id,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,20,0,avoid_lighting_diverse,150,0.0,0.0,0.0,1.0,0.022835640236735344,1.0689254450798034
Scratch CNN,bc_128px_v1,id,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,5,1,avoid_lighting_diverse,150,0.0,0.0,0.0,1.0,0.02690404896934827,0.51615669409434
Scratch CNN,bc_128px_v1,id,spatial_narrow,reach,spatial_distribution,narrow_train,20,0,spatial_narrow,150,0.02666666666666667,0.06666666666666667,0.18666666666666668,0.48,0.05871141510045466,0.16751373550039717
Scratch CNN,bc_128px_v1,id,avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,5,2,avoid_camera_multi_pose,150,0.0,0.0,0.0,1.0,0.036254221200942995,0.5164897747834524
Scratch CNN,bc_128px_v1,id,color_red_only,reach,color,fixed_train,20,1,color_red_only,150,0.0,1.0,1.0,1.0,0.007402104791253805,0.16592617332935333
Scratch CNN,bc_128px_v1,id,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,20,2,camera_multi_pose,150,0.0,0.06666666666666667,1.0,1.0,0.010653908848762512,0.025450930409133436
Scratch CNN,bc_128px_v1,id,avoid_color_red_only,avoid_reach,color,fixed_train,20,1,avoid_color_red_only,150,0.0,0.0,1.0,1.0,0.014517686329782009,1.0530387163162231
Scratch CNN,bc_128px_v1,id,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,50,0,camera_multi_pose,150,1.0,1.0,1.0,1.0,0.004283860800787806,0.022720522445937
Scratch CNN,bc_128px_v1,id,avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,50,0,avoid_camera_fixed,150,0.0,0.0,1.0,1.0,0.018098032101988792,0.9148772358894348
Scratch CNN,bc_128px_v1,id,spatial_wide,reach,spatial_distribution,wide_train,50,0,spatial_wide,150,0.02666666666666667,0.08,0.25333333333333335,0.42,0.06599263455718755,0.18034275074799855
