family,family_label,split,model_family,train_config,task,task_label,axis,axis_label,variant,budget,seed,eval_config,eval_variant,rollout_count,success_at_0p5cm_count,success_at_1cm_count,success_at_2cm_count,success_at_5cm_count,success_at_0p5cm,success_at_1cm,success_at_2cm,success_at_5cm,nearest_distance_m,end_distance_m,mean_steps,metrics_path,nearest_distance_cm,end_distance_cm
scratch_cnn,Scratch CNN,id,scratch_bc_128,avoid_camera_fixed,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,fixed_train,5,0,avoid_camera_fixed,fixed_train,150,0,150,150,150,0.0,1.0,1.0,1.0,0.00756295770406723,0.5466386079788208,400.0,results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget005__seed000__eval_avoid_camera_fixed.json,0.756295770406723,54.66386079788208
scratch_cnn,Scratch CNN,id,scratch_bc_128,avoid_camera_fixed,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,fixed_train,5,1,avoid_camera_fixed,fixed_train,150,0,0,150,150,0.0,0.0,1.0,1.0,0.018956279382109642,0.5464298725128174,400.0,results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget005__seed001__eval_avoid_camera_fixed.json,1.8956279382109642,54.64298725128174
scratch_cnn,Scratch CNN,id,scratch_bc_128,avoid_camera_fixed,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,fixed_train,5,2,avoid_camera_fixed,fixed_train,150,0,0,150,150,0.0,0.0,1.0,1.0,0.011600092053413391,0.5194397568702698,400.0,results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget005__seed002__eval_avoid_camera_fixed.json,1.1600092053413391,51.94397568702698
scratch_cnn,Scratch CNN,id,scratch_bc_128,avoid_camera_fixed,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,fixed_train,20,0,avoid_camera_fixed,fixed_train,150,0,150,150,150,0.0,1.0,1.0,1.0,0.005254202056676149,0.7800842523574829,400.0,results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget020__seed000__eval_avoid_camera_fixed.json,0.5254202056676149,78.00842523574829
scratch_cnn,Scratch CNN,id,scratch_bc_128,avoid_camera_fixed,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,fixed_train,20,1,avoid_camera_fixed,fixed_train,150,0,0,0,150,0.0,0.0,0.0,1.0,0.028839683160185814,1.1571484804153442,400.0,results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget020__seed001__eval_avoid_camera_fixed.json,2.8839683160185814,115.71484804153442
scratch_cnn,Scratch CNN,id,scratch_bc_128,avoid_camera_fixed,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,fixed_train,20,2,avoid_camera_fixed,fixed_train,150,0,0,150,150,0.0,0.0,1.0,1.0,0.01745898835361004,1.0867458581924438,400.0,results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget020__seed002__eval_avoid_camera_fixed.json,1.7458988353610039,108.67458581924438
scratch_cnn,Scratch CNN,id,scratch_bc_128,avoid_camera_fixed,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,fixed_train,50,0,avoid_camera_fixed,fixed_train,150,0,0,150,150,0.0,0.0,1.0,1.0,0.018098032101988792,0.9148772358894348,400.0,results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget050__seed000__eval_avoid_camera_fixed.json,1.8098032101988792,91.48772358894348
scratch_cnn,Scratch CNN,id,scratch_bc_128,avoid_camera_fixed,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,fixed_train,50,1,avoid_camera_fixed,fixed_train,150,0,0,150,150,0.0,0.0,1.0,1.0,0.012871206738054752,0.7170063257217407,400.0,results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget050__seed001__eval_avoid_camera_fixed.json,1.2871206738054752,71.70063257217407
scratch_cnn,Scratch CNN,id,scratch_bc_128,avoid_camera_fixed,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,fixed_train,50,2,avoid_camera_fixed,fixed_train,150,0,0,150,150,0.0,0.0,1.0,1.0,0.019981026649475098,0.9963139891624451,400.0,results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget050__seed002__eval_avoid_camera_fixed.json,1.9981026649475098,99.6313989162445
scratch_cnn,Scratch CNN,id,scratch_bc_128,avoid_camera_fixed,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,fixed_train,100,0,avoid_camera_fixed,fixed_train,150,0,0,0,150,0.0,0.0,0.0,1.0,0.02234642021358013,0.7987040281295776,400.0,results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget100__seed000__eval_avoid_camera_fixed.json,2.234642021358013,79.87040281295776
