family,family_label,split,task,task_label,axis,axis_label,train_config,variant,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,avoid_camera_fixed,fixed_train,5,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,0.3333333333333333,33.33333333333333,0.05947112167874972,0.05947112167874972,0.02318692787609997,0.026238478939855644,0.15592501560846964,0.15592501560846964,0.053285532778445666,0.060298256719354536,400.0,400.0,0.0,0.0,5.947112167874971,15.592501560846964
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,avoid_camera_fixed,fixed_train,20,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,450,1.0,100.0,0.0351144274075826,0.0351144274075826,0.0031883845072070032,0.003607996720891352,0.10864807044466336,0.10864807044466336,0.04606999323305669,0.05213310506955225,400.0,400.0,0.0,0.0,3.5114427407582602,10.864807044466335
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,avoid_camera_fixed,fixed_train,50,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,450,1.0,100.0,0.038827523589134216,0.038827523589134216,0.0027319390654298795,0.0030914800794777674,0.15050635611017546,0.15050635611017546,0.1067669664135484,0.12081819612686694,400.0,400.0,0.0,0.0,3.8827523589134216,15.050635611017546
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,avoid_camera_fixed,fixed_train,100,1,150,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,1.0,100.0,0.03772420808672905,0.03772420808672905,0.0,0.0,0.11383550614118576,0.11383550614118576,0.0,0.0,400.0,400.0,0.0,0.0,3.772420808672905,11.383550614118576
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,avoid_camera_fixed,fixed_train,200,1,150,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,1.0,100.0,0.04135121777653694,0.04135121777653694,0.0,0.0,0.14060896635055542,0.14060896635055542,0.0,0.0,400.0,400.0,0.0,0.0,4.135121777653694,14.060896635055542
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,avoid_camera_multi_pose,diverse_train,5,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,180,0.4,40.0,0.056045336036218536,0.056045336036218536,0.005300959259242804,0.005998600100362662,0.11224113654759195,0.11224113654759195,0.05260705447840878,0.05953048624618992,400.0,400.0,0.0,0.0,5.604533603621854,11.224113654759195
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,avoid_camera_multi_pose,diverse_train,20,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,303,0.6733333333333333,67.33333333333333,0.08769983881877529,0.08769983881877529,0.07659205661875243,0.0866720712329826,0.21858875686095822,0.21858875686095822,0.17340464616014628,0.19622582951301282,400.0,400.0,0.0,0.0,8.769983881877529,21.85887568609582
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,avoid_camera_multi_pose,diverse_train,50,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,450,1.0,100.0,0.03747376343028413,0.03747376343028413,0.003960746473823409,0.00448200656399346,0.13553506340417598,0.13553506340417598,0.017047934114218906,0.01929155352594373,400.0,400.0,0.0,0.0,3.747376343028413,13.553506340417599
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,avoid_camera_multi_pose,diverse_train,100,1,150,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,1.0,100.0,0.04218785134454568,0.04218785134454568,0.0,0.0,0.15926751186450322,0.15926751186450322,0.0,0.0,400.0,400.0,0.0,0.0,4.218785134454568,15.926751186450321
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,avoid_camera_multi_pose,diverse_train,200,1,150,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,1.0,100.0,0.038374604980150856,0.038374604980150856,0.0,0.0,0.10949830460051696,0.10949830460051696,0.0,0.0,400.0,400.0,0.0,0.0,3.8374604980150857,10.949830460051697
