budget,task,axis,baseline_config,diversity_config,baseline_success_rate_at_1cm,diverse_success_rate_at_1cm,diverse_minus_baseline_success_rate_at_1cm,baseline_success_rate_at_2cm,diverse_success_rate_at_2cm,diverse_minus_baseline_success_rate_at_2cm,baseline_success_rate_at_5cm,diverse_success_rate_at_5cm,diverse_minus_baseline_success_rate_at_5cm,baseline_mean_best_distance,diverse_mean_best_distance,diverse_minus_baseline_mean_best_distance,baseline_mean_final_distance,diverse_mean_final_distance,diverse_minus_baseline_mean_final_distance
5,reach,color,color_red_only,color_multi,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0,0.00908596526986609,0.010481012475987275,0.001395047206121186,0.29386053588655264,0.27792785561747024,-0.0159326802690824
5,avoid_reach,color,avoid_color_red_only,avoid_color_multi,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.025034680983258617,0.02199962635835012,-0.0030350546249084953,0.5394923612806531,0.536241430176629,-0.0032509311040241906
5,reach,spatial_distribution,spatial_narrow,spatial_wide,0.008888888888888889,0.0022222222222222222,-0.006666666666666666,0.03777777777777778,0.022222222222222223,-0.015555555555555555,0.11111111111111112,0.14666666666666667,0.03555555555555555,0.13652559077884588,0.13596961042429836,-0.0005559803545475139,0.2858193952590227,0.3551154372882512,0.06929604202922846
5,avoid_reach,spatial_distribution,avoid_spatial_narrow,avoid_spatial_wide,0.024444444444444446,0.031111111111111114,0.006666666666666668,0.06222222222222223,0.08222222222222221,0.019999999999999983,0.19333333333333336,0.2488888888888889,0.05555555555555555,0.12801560030422277,0.11785619888661636,-0.010159401417606406,0.5132979584485292,0.33139958053827284,-0.18189837791025637
5,reach,camera_location_viewpoint,camera_fixed,camera_multi_pose,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.01472162239977883,0.015374028511966268,0.0006524061121874376,0.28735029227203795,0.2820914704932107,-0.0052588217788272495
5,avoid_reach,camera_location_viewpoint,avoid_camera_fixed,avoid_camera_multi_pose,0.3333333333333333,0.0,-0.3333333333333333,1.0,0.6666666666666666,-0.33333333333333337,1.0,1.0,0.0,0.012674426066999636,0.022410957842237417,0.009736531775237782,0.5375642861260308,0.5592134585645464,0.021649172438515607
5,reach,lighting_direction_intensity,lighting_fixed,lighting_diverse,0.0,0.39111111111111113,0.39111111111111113,0.4711111111111111,0.8622222222222223,0.39111111111111124,1.0,1.0,0.0,0.027859466965827678,0.011492649585836463,-0.016366817379991214,0.16667679064803653,0.23991073512368732,0.07323394447565079
5,avoid_reach,lighting_direction_intensity,avoid_lighting_fixed,avoid_lighting_diverse,0.3333333333333333,0.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.0,0.01666231120419171,0.020937670982546275,0.004275359778354564,0.5695631498760647,0.5422701706488927,-0.027292979227172
20,reach,color,color_red_only,color_multi,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0,0.012302076306401026,0.010957166483211848,-0.0013449098231891783,0.12204194270074369,0.2186436988910039,0.09660175619026022
20,avoid_reach,color,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,0.7533333333333333,0.6666666666666666,-0.08666666666666667,1.0,1.0,0.0,0.018252099230885506,0.018838130241880812,0.0005860310109953061,0.7592034995555877,0.8684388183222876,0.1092353187666999
