metrics_path,split,train_config,task,axis,variant,budget,seed,eval_config,rollout_count,success_rate_at_0p5cm,success_rate_at_1cm,success_rate_at_2cm,success_rate_at_5cm,mean_best_distance,mean_final_distance,mean_steps,mean_success_steps
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_spatial_wide__budget050__seed002__eval_avoid_spatial_wide.json,id,avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,50,2,avoid_spatial_wide,150,0.0,0.006666666666666667,0.23333333333333334,0.54,0.06557761748010914,0.3537874876956145,400.0,145.58024691358025
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__camera_multi_pose__budget005__seed000__eval_camera_multi_pose.json,id,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,5,0,camera_multi_pose,150,0.0,1.0,1.0,1.0,0.008983899814387162,0.27034037093321484,400.0,79.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__camera_fixed__budget020__seed001__eval_camera_fixed.json,id,camera_fixed,reach,camera_location_viewpoint,fixed_train,20,1,camera_fixed,150,0.0,1.0,1.0,1.0,0.006896995473653078,0.02169713005423546,400.0,78.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_multi_pose__budget050__seed002__eval_avoid_camera_multi_pose.json,id,avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,50,2,avoid_camera_multi_pose,150,0.0,0.0,0.0,1.0,0.025246837412317594,1.1973647753397623,400.0,166.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_lighting_fixed__budget005__seed000__eval_avoid_lighting_fixed.json,id,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,5,0,avoid_lighting_fixed,150,0.0,1.0,1.0,1.0,0.008788717910647392,0.6014371514320374,400.0,142.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__lighting_fixed__budget050__seed000__eval_lighting_fixed.json,id,lighting_fixed,reach,lighting_direction_intensity,fixed_train,50,0,lighting_fixed,150,1.0,1.0,1.0,1.0,0.0012199819320812821,0.03676559403538704,400.0,79.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_lighting_fixed__budget050__seed000__eval_avoid_lighting_fixed.json,id,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,50,0,avoid_lighting_fixed,150,0.0,0.0,0.0,1.0,0.02050137333571911,1.019129991531372,400.0,148.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__spatial_wide__budget005__seed000__eval_spatial_wide.json,id,spatial_wide,reach,spatial_distribution,wide_train,5,0,spatial_wide,150,0.006666666666666667,0.013333333333333334,0.06,0.16,0.10772376214154064,0.17353718808541696,400.0,131.70833333333334
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__spatial_narrow__budget050__seed001__eval_spatial_narrow.json,id,spatial_narrow,reach,spatial_distribution,narrow_train,50,1,spatial_narrow,150,0.006666666666666667,0.09333333333333334,0.5333333333333333,0.7533333333333333,0.03249832324140395,0.07851348917388047,398.31333333333333,127.17699115044248
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_color_red_only__budget050__seed001__eval_avoid_color_red_only.json,id,avoid_color_red_only,avoid_reach,color,fixed_train,50,1,avoid_color_red_only,150,0.0,0.0,1.0,1.0,0.0156676284968853,0.6562272310256958,400.0,149.0
