split,budget,task,n_models,rollouts_total,success_rate_at_0p5cm_mean,success_rate_at_0p5cm_std,success_rate_at_0p5cm_ci95,success_rate_at_1cm_mean,success_rate_at_1cm_std,success_rate_at_1cm_ci95,success_rate_at_2cm_mean,success_rate_at_2cm_std,success_rate_at_2cm_ci95,success_rate_at_5cm_mean,success_rate_at_5cm_std,success_rate_at_5cm_ci95,mean_best_distance_mean,mean_best_distance_std,mean_best_distance_ci95,mean_final_distance_mean,mean_final_distance_std,mean_final_distance_ci95,mean_steps_mean,mean_steps_std,mean_steps_ci95,mean_success_steps_mean,mean_success_steps_std,mean_success_steps_ci95
id,5,reach,24,3600,0.08472222222222221,0.2819358831188682,0.11279784545762349,0.2558333333333333,0.4392387463880007,0.17573209797202374,0.6536111111111111,0.46049953622815365,0.18423818545605458,0.8405555555555555,0.2986663863007656,0.11949144079378113,0.029571016857905003,0.03172083754718241,0.012690978146704755,0.26525588012766094,0.08039966189768716,0.032166564033131305,400.0,0.0,0.0,87.15741528067953,16.98562815267798,6.795666582669936
id,5,avoid_reach,24,3600,0.0016666666666666668,0.005979029375285876,0.002392109950671804,0.13194444444444445,0.3357476575242354,0.13432703906728535,0.44249999999999995,0.48421583601263046,0.1937266815223329,0.8480555555555555,0.27722558641816475,0.11091333429349653,0.03409549394795451,0.027098845058918,0.010841796025471407,0.5087736351395303,0.09615079220363965,0.03846832861300437,399.92333333333335,0.37558842722674884,0.1502666666666646,146.92169908355692,16.96656579103213,6.788040049646897
id,20,reach,24,3600,0.08805555555555555,0.28104689839638625,0.11244217749428578,0.45999999999999996,0.48072409152643164,0.19232969277945017,0.8105555555555556,0.318134153737943,0.12728016991364938,0.8861111111111111,0.21161369111499093,0.08466310908371415,0.02254361805585278,0.025703507302716994,0.010283544656954439,0.13769907996968767,0.08407085832971702,0.033635348507117864,399.9205555555556,0.38919670357555514,0.1557111111111134,85.08109878656673,13.672853928770797,5.4702808573391355
id,20,avoid_reach,24,3600,0.0,0.0,0.0,0.08472222222222221,0.2819564441414926,0.11280607157991338,0.5225,0.4900313013762513,0.1960533522394239,0.8686111111111111,0.23358974868866048,0.09345536326058845,0.02956164370562571,0.02120166065004332,0.008482430881067636,0.8026726858824905,0.29545005735020885,0.1182046412140596,400.0,0.0,0.0,140.25800310493426,15.033788668250653,6.014768152548159
id,50,reach,24,3600,0.5152777777777778,0.4970151648331005,0.19884747955017382,0.7827777777777777,0.3872904347351727,0.15494844473576777,0.8650000000000001,0.27532501654281166,0.11015294797902692,0.9197222222222222,0.17303741927747693,0.06922938599418248,0.013267810139093651,0.01851095559037744,0.007405924655131597,0.06096643964798811,0.061106865887037294,0.024447838063307775,388.4713888888889,56.120224930913245,22.452766170722942,83.88242164422566,11.900293212004545,4.761108872623178
id,50,avoid_reach,24,3600,0.0016666666666666668,0.008164965809277261,0.0032666666666666673,0.005,0.01500402522481417,0.006002860295144922,0.42083333333333334,0.467193543152391,0.18691634600156426,0.8216666666666667,0.3052598481281596,0.12212937492266804,0.04035247266978129,0.04522076745110389,0.018092074985269522,0.7293851264674838,0.2965147975410188,0.11863062600949219,400.0,0.0,0.0,147.95226622545465,13.580973059419913,5.550384134027328
ood,5,reach,24,3600,0.09527777777777778,0.28470497767973774,0.11390571401581913,0.3002777777777778,0.44354513483349195,0.17745501217854998,0.5908333333333333,0.450089899769364,0.1800734634931764,0.7822222222222223,0.3856441586089995,0.15428979710990892,0.045188743301550864,0.054330405734982115,0.02173668935628422,0.27359406407353365,0.07659806081199917,0.030645606831758772,400.0,0.0,0.0,87.83260616819827,17.92286333526334,7.1706387505019356
ood,5,avoid_reach,24,3600,0.0008333333333333334,0.002252213082307254,0.0009010728978000386,0.13194444444444445,0.335505843007885,0.13423029311163415,0.43472222222222223,0.4894243060665868,0.1958105035378836,0.8052777777777779,0.34497345226803505,0.13801812570096553,0.04569893407855286,0.046574586262932406,0.018633715316485795,0.5161302994574524,0.07955966780340222,0.03183049640319957,400.0,0.0,0.0,150.37342824888162,17.410818849841174,6.965778290403188
ood,20,reach,24,3600,0.09527777777777778,0.25353522974414633,0.10143521763310229,0.43416666666666665,0.42235737094582654,0.16897814116037643,0.6994444444444444,0.39232696935804484,0.15696347825242438,0.7977777777777778,0.34567118310281125,0.13829727617305682,0.039585071828009355,0.049521690508974925,0.019812802581346135,0.16612205126571805,0.09420692759907938,0.03769062079933353,399.8569444444445,0.4870535653532882,0.19486200971141313,85.69172409050371,17.476501021804385,6.992056632132764
ood,20,avoid_reach,24,3600,0.0008333333333333334,0.004082482904638631,0.0016333333333333336,0.08833333333333333,0.28119998213316233,0.11250342374464571,0.46,0.4474339073531144,0.17901084521702593,0.8016666666666666,0.31733339422725027,0.12695979938636262,0.044163144300756456,0.04240472117769711,0.016965421829823784,0.7610531084477489,0.2779853310538521,0.11121729545323082,400.0,0.0,0.0,152.23108102140324,21.14893754217018,8.46133724478363
