group,model,split,tag,rollouts,success_0p5cm,success_1cm,success_2cm,success_5cm,mean_best_cm,mean_final_cm,metrics_path
Prior spatial-wide visual-only,Scratch CNN,ID,scratch,150,0.07333333333333333,0.30666666666666664,0.5666666666666667,0.78,3.199745908069114,5.269316393882036,results/bc_128px_phase_precise_avoid/metrics/id/metrics__scratch_bc_128__avoid_spatial_wide__budget200__seed000__eval_avoid_spatial_wide.json
Prior spatial-wide visual-only,Scratch CNN,OOD,scratch,150,0.06666666666666667,0.15333333333333332,0.38,0.7133333333333334,5.113673153488587,8.72819460183382,results/bc_128px_phase_precise_avoid/metrics/ood/metrics__scratch_bc_128__avoid_spatial_wide__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Prior spatial-wide visual-only,Frozen ResNet18,ID,frozen,150,0.006666666666666667,0.006666666666666667,0.22666666666666666,0.8266666666666667,3.770985586568713,7.316612017030518,results/frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_wide__budget200__seed000__eval_avoid_spatial_wide.json
Prior spatial-wide visual-only,Frozen ResNet18,OOD,frozen,150,0.0,0.02666666666666667,0.18,0.5533333333333333,6.180839004615943,14.862094724240402,results/frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_wide__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Prior spatial-wide visual-only,Partial ResNet18,ID,partial,150,0.05333333333333334,0.43333333333333335,0.74,0.9466666666666667,1.7856709285018344,6.854758192164202,results/partial_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__partial_resnet18_bc_128__avoid_spatial_wide__budget200__seed000__eval_avoid_spatial_wide.json
Prior spatial-wide visual-only,Partial ResNet18,OOD,partial,150,0.04666666666666667,0.28,0.52,0.7466666666666667,4.13253286248073,14.519038495297234,results/partial_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__partial_resnet18_bc_128__avoid_spatial_wide__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Scratch CNN,ID,scratch,150,0.0,0.0,0.013333333333333334,0.04666666666666667,17.15544248558581,23.08471410845717,results/edge_balanced_scratch_bc_128px_phase_precise_avoid/metrics/id/metrics__scratch_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Scratch CNN,OOD,scratch,150,0.0,0.013333333333333334,0.03333333333333333,0.14666666666666667,12.953003505865732,19.251467219243448,results/edge_balanced_scratch_bc_128px_phase_precise_avoid/metrics/ood/metrics__scratch_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,150,0.013333333333333334,0.10666666666666667,0.32666666666666666,0.6266666666666667,7.621272025008996,15.21538523832957,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,150,0.006666666666666667,0.08666666666666667,0.21333333333333335,0.5133333333333333,7.678021120062718,14.979144709184766,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
